Day,Away,Home,RA,RH,Inn
5,127,COL,STL,0,5,9
5,127,SDP,SFG,4,5,9
5,127,PIT,CHC,2,3,9
5,127,MIL,MIA,1,6,9
5,127,PHI,ATL,12,2,9
6,128,SEA,TEX,8,9,9
6,128,TOR,HOU,8,4,9
6,128,TBR,OAK,3,6,9
6,128,LAD,LAA,14,11,9
6,128,CHW,KCR,9,1,9
6,128,CIN,CLE,2,9,9
6,128,MIN,DET,3,7,9
6,128,BOS,BAL,11,6,9
6,128,WSN,NYY,3,4,11
6,128,ARI,NYM,2,4,9
6,128,COL,STL,8,9,9
6,128,SDP,SFG,1,7,9
6,128,PIT,CHC,2,3,9
6,128,MIL,MIA,6,2,9
6,128,PHI,ATL,7,8,12
0,129,SEA,TEX,2,10,9
0,129,TOR,HOU,4,7,9
0,129,TBR,OAK,4,3,9
0,129,LAD,LAA,1,2,9
0,129,CHW,KCR,9,3,9
0,129,BOS,BAL,4,3,9
0,129,WSN,NYY,2,3,9
0,129,ARI,NYM,2,4,9
0,129,COL,STL,0,2,9
0,129,SDP,SFG,11,1,9
0,129,PIT,CHC,6,5,9
0,129,MIL,MIA,2,1,10
0,129,PHI,ATL,1,6,9
1,130,LAA,HOU,5,4,9
1,130,TEX,SFG,1,3,9
1,130,BOS,BAL,1,4,9
1,130,MIA,ARI,2,5,9
1,130,CIN,PIT,14,1,9
2,131,SEA,LAD,4,6,9
2,131,LAA,HOU,1,5,9
2,131,OAK,BOS,3,2,9
2,131,TEX,SFG,2,4,9
2,131,MIN,CHW,3,9,9
2,131,CHC,CLE,2,3,9
2,131,KCR,DET,7,8,9
2,131,BAL,NYM,2,3,9
2,131,NYY,TBR,3,1,9
2,131,TOR,ATL,5,3,9
2,131,MIA,ARI,3,11,9
2,131,SDP,COL,8,1,9
2,131,CIN,PIT,2,7,9
2,131,STL,MIL,6,1,11
2,131,PHI,WSN,6,2,9
3,132,SEA,LAD,1,7,9
3,132,LAA,HOU,1,9,9
3,132,OAK,BOS,4,1,9
3,132,MIN,CHW,8,13,9
3,132,CHC,CLE,1,2,10
3,132,KCR,DET,2,4,9
3,132,BAL,NYM,1,7,9
3,132,NYY,TBR,1,0,9
3,132,TOR,ATL,4,1,9
3,132,MIA,ARI,3,2,9
3,132,SDP,COL,5,3,7
3,132,SDP,COL,2,3,8
3,132,CIN,PIT,5,1,10
3,132,STL,MIL,1,4,9
3,132,PHI,WSN,5,2,10
4,133,CLE,SEA,4,2,9
4,133,TEX,HOU,3,4,11
4,133,OAK,BOS,1,8,9
4,133,MIN,CHW,2,4,9
4,133,KCR,DET,3,4,9
4,133,NYY,TBR,1,9,9
4,133,TOR,ATL,8,4,9
4,133,MIA,ARI,5,1,9
4,133,CIN,COL,8,13,9
4,133,SFG,PIT,3,1,9
4,133,STL,MIL,2,0,9
4,133,PHI,WSN,1,5,9
5,134,CLE,SEA,3,7,9
5,134,TEX,HOU,4,10,9
5,134,OAK,MIN,6,1,9
5,134,LAA,BOS,3,4,9
5,134,KCR,CHW,6,2,7
5,134,KCR,CHW,1,3,7
5,134,CHC,DET,4,2,9
5,134,NYY,BAL,5,4,9
5,134,NYM,TBR,2,3,9
5,134,PHI,TOR,5,1,9
5,134,WSN,ARI,17,2,9
5,134,CIN,COL,6,9,9
5,134,MIA,LAD,6,9,9
5,134,STL,SDP,4,5,9
5,134,SFG,PIT,2,3,11
5,134,ATL,MIL,6,3,9
6,135,CLE,SEA,3,7,9
6,135,TEX,HOU,5,6,9
6,135,OAK,MIN,4,5,9
6,135,LAA,BOS,0,9,9
6,135,KCR,CHW,5,1,9
6,135,CHC,DET,8,9,10
6,135,NYY,BAL,8,2,9
6,135,NYM,TBR,5,12,9
6,135,PHI,TOR,0,4,9
6,135,WSN,ARI,4,11,9
6,135,CIN,COL,6,5,12
6,135,MIA,LAD,0,7,9
6,135,STL,SDP,3,13,9
6,135,SFG,PIT,6,8,9
6,135,ATL,MIL,5,1,9
0,136,CLE,SEA,2,3,9
0,136,TEX,HOU,2,6,9
0,136,OAK,MIN,7,6,9
0,136,LAA,BOS,6,5,9
0,136,KCR,CHW,3,4,9
0,136,CHC,DET,5,1,9
0,136,NYY,BAL,6,10,9
0,136,NYM,TBR,1,7,9
0,136,PHI,TOR,8,10,9
0,136,WSN,ARI,3,0,9
0,136,CIN,COL,7,6,9
0,136,MIA,LAD,3,2,9
0,136,STL,SDP,3,5,9
0,136,SFG,PIT,4,1,9
0,136,ATL,MIL,9,10,9
1,137,DET,SEA,4,1,9
1,137,CLE,LAA,4,7,9
1,137,NYY,TEX,2,5,9
1,137,CHW,MIN,16,4,9
1,137,ARI,LAD,1,3,9
1,137,COL,SDP,0,7,9
1,137,SFG,CIN,6,3,9
1,137,WSN,CHC,3,7,9
1,137,NYM,ATL,3,1,9
2,138,DET,SEA,5,0,9
2,138,HOU,OAK,5,6,9
2,138,CLE,LAA,6,5,9
2,138,NYY,TEX,7,4,9
2,138,CHW,MIN,4,5,9
2,138,MIL,KCR,0,2,9
2,138,TBR,BAL,13,6,9
2,138,BOS,TOR,0,8,9
2,138,ARI,LAD,1,9,9
2,138,COL,SDP,1,2,10
2,138,SFG,CIN,4,2,9
2,138,WSN,CHC,3,6,9
2,138,PIT,STL,2,5,9
2,138,NYM,ATL,4,3,9
2,138,MIA,PHI,3,8,9
3,139,DET,SEA,6,2,9
3,139,HOU,OAK,8,1,9
3,139,CLE,LAA,3,2,9
3,139,NYY,TEX,2,0,9
3,139,CHW,MIN,2,1,9
3,139,MIL,KCR,4,6,9
3,139,TBR,BAL,9,7,9
3,139,BOS,TOR,7,3,9
3,139,ARI,LAD,2,4,9
3,139,COL,SDP,0,3,9
3,139,SFG,CIN,4,0,9
3,139,WSN,CHC,4,3,9
3,139,PIT,STL,5,8,9
3,139,NYM,ATL,4,5,9
3,139,MIA,PHI,3,1,9
4,140,HOU,OAK,8,4,9
4,140,MIN,LAA,1,7,7
4,140,MIN,LAA,6,3,7
4,140,NYY,TEX,2,0,9
4,140,TBR,BAL,10,1,9
4,140,BOS,TOR,8,7,9
4,140,ARI,LAD,2,3,9
4,140,SFG,CIN,19,4,9
4,140,WSN,CHC,2,5,9
4,140,PIT,ATL,6,4,10
4,140,MIA,PHI,6,0,9
5,141,SEA,SDP,1,16,9
5,141,HOU,TEX,5,7,10
5,141,OAK,LAA,8,4,9
5,141,CHW,NYY,1,2,9
5,141,MIN,CLE,10,0,9
5,141,DET,KCR,7,5,9
5,141,BAL,WSN,2,4,9
5,141,BOS,PHI,11,3,9
5,141,TBR,TOR,9,7,12
5,141,ARI,COL,1,7,9
5,141,LAD,SFG,2,1,9
5,141,CHC,STL,12,3,9
5,141,MIL,CIN,4,9,9
5,141,PIT,ATL,1,20,9
5,141,NYM,MIA,6,5,12
6,142,SEA,SDP,4,6,9
6,142,HOU,TEX,4,8,9
6,142,OAK,LAA,6,2,9
6,142,CHW,NYY,0,7,9
6,142,MIN,CLE,3,5,10
6,142,DET,KCR,5,7,9
6,142,BAL,WSN,9,12,9
6,142,BOS,PHI,4,3,9
6,142,TBR,TOR,3,1,9
6,142,ARI,COL,6,7,9
6,142,LAD,SFG,6,3,9
6,142,CHC,STL,1,2,9
6,142,MIL,CIN,4,3,9
6,142,PIT,ATL,1,6,9
6,142,NYM,MIA,1,3,9
0,143,SEA,SDP,2,9,9
0,143,HOU,TEX,2,3,10
0,143,OAK,LAA,5,6,9
0,143,CHW,NYY,4,5,9
0,143,MIN,CLE,8,5,10
0,143,DET,KCR,2,3,9
0,143,BAL,WSN,5,6,9
0,143,BOS,PHI,2,6,9
0,143,TBR,TOR,6,4,9
0,143,ARI,COL,3,4,9
0,143,LAD,SFG,11,5,9
0,143,CHC,STL,2,1,10
0,143,MIL,CIN,9,4,9
0,143,PIT,ATL,1,7,9
0,143,NYM,MIA,1,5,9
1,144,SEA,OAK,4,2,9
1,144,STL,CHW,1,5,9
1,144,CLE,DET,6,5,9
1,144,BAL,MIN,3,8,9
1,144,TBR,TOR,14,8,11
1,144,COL,NYM,3,2,9
1,144,SDP,MIL,3,5,9
1,144,PHI,MIA,6,9,9
2,145,SEA,OAK,4,3,9
2,145,LAD,HOU,9,2,9
2,145,TEX,LAA,5,11,9
2,145,STL,CHW,3,8,9
2,145,CLE,DET,4,1,9
2,145,KCR,TBR,2,1,9
2,145,BAL,MIN,4,7,9
2,145,ATL,BOS,3,1,9
2,145,TOR,NYY,6,2,9
2,145,SFG,ARI,8,0,9
2,145,COL,NYM,1,3,9
2,145,SDP,MIL,7,1,9
2,145,CHC,PIT,4,3,9
2,145,CIN,WSN,2,1,9
2,145,PHI,MIA,2,0,9
3,146,SEA,OAK,3,6,9
3,146,LAD,HOU,2,5,9
3,146,TEX,LAA,8,9,9
3,146,STL,CHW,4,0,9
3,146,CLE,DET,0,1,9
3,146,KCR,TBR,1,2,10
3,146,BAL,MIN,2,3,9
3,146,ATL,BOS,5,9,9
3,146,SFG,ARI,5,4,9
3,146,SDP,MIL,2,1,10
3,146,CHC,PIT,4,1,9
3,146,CIN,WSN,3,5,9
3,146,PHI,MIA,2,4,9
4,147,TEX,SEA,0,5,9
4,147,LAA,OAK,0,5,9
4,147,BAL,CHW,1,5,9
4,147,CLE,DET,5,2,9
4,147,KCR,TBR,2,7,9
4,147,TOR,NYY,2,0,7
4,147,TOR,NYY,3,5,7
4,147,STL,ARI,5,4,10
4,147,COL,NYM,0,1,7
4,147,COL,NYM,2,4,7
4,147,SFG,LAD,3,4,9
4,147,SDP,MIL,5,6,10
4,147,CHC,PIT,5,3,9
4,147,CIN,WSN,3,0,7
4,147,PHI,MIA,3,2,9
5,148,TEX,SEA,2,3,9
5,148,SDP,HOU,10,3,11
5,148,LAA,OAK,1,3,9
5,148,TOR,CLE,11,2,7
5,148,NYY,DET,2,3,10
5,148,KCR,MIN,8,3,9
5,148,MIA,BOS,2,5,6
5,148,STL,ARI,8,6,9
5,148,SFG,LAD,8,5,10
5,148,CIN,CHC,0,1,9
6,149,TEX,SEA,2,3,9
6,149,SDP,HOU,11,8,12
6,149,LAA,OAK,4,0,9
6,149,BAL,CHW,4,7,7
6,149,BAL,CHW,1,3,7
6,149,NYY,DET,1,6,9
6,149,KCR,MIN,5,6,9
6,149,MIA,BOS,1,3,9
