WkDay,Day,Away,Home,RA,RH,Inn
4,142,TEX,NYY,0,1,9
4,142,CLE,DET,7,0,9
4,142,SDP,TOR,6,7,11
4,142,PHI,COL,2,0,9
4,142,MIL,PIT,8,5,9
4,142,ATL,WSN,7,8,10
5,143,SEA,HOU,5,3,9
5,143,PHI,ATH,4,3,9
5,143,MIA,LAA,4,7,9
5,143,TEX,CHW,1,4,9
5,143,CLE,DET,3,1,9
5,143,KCR,MIN,1,3,9
5,143,BAL,BOS,5,19,9
5,143,NYY,COL,2,3,9
5,143,TOR,TBR,1,3,9
5,143,ARI,STL,3,4,9
5,143,LAD,NYM,7,5,13
5,143,SDP,ATL,2,1,9
5,143,SFG,WSN,4,0,9
5,143,CHC,CIN,13,6,9
5,143,MIL,PIT,5,6,10
6,144,SEA,HOU,1,2,9
6,144,PHI,ATH,9,6,11
6,144,MIA,LAA,6,2,9
6,144,TEX,CHW,5,10,9
6,144,CLE,DET,7,5,10
6,144,KCR,MIN,4,5,9
6,144,BAL,BOS,5,6,10
6,144,BAL,BOS,2,1,9
6,144,NYY,COL,13,1,9
6,144,TOR,TBR,1,3,9
6,144,ARI,STL,5,6,9
6,144,LAD,NYM,2,5,9
6,144,SDP,ATL,1,7,9
6,144,SFG,WSN,0,3,9
6,144,CHC,CIN,4,6,9
6,144,MIL,PIT,1,2,9
0,145,SEA,HOU,3,5,9
0,145,PHI,ATH,4,5,9
0,145,MIA,LAA,3,0,9
