['W', 'Yale', 'Pennsylvania']
['W', 'Yale', 'Stevens']
['W', 'Bucknell', 'Swarthmore']
['W', 'Cornell', 'Stevens']
['W', 'Dartmouth', 'Amherst']
['W', 'Harvard', 'Pennsylvania']
['W', 'Lehigh', 'Columbia']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Lafayette', 'Pennsylvania']
['W', 'Princeton', 'Columbia']
['W', 'Dartmouth', 'Williams']
['W', 'Franklin & Marshall', 'Swarthmore']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Lafayette', 'Penn State']
['W', 'MIT', 'Stevens']
['W', 'Pennsylvania', 'Columbia']
['W', 'Yale', 'Cornell']
['W', 'Lehigh', 'Penn State']
['W', 'Yale', 'Amherst']
['W', 'Wesleyan (CT)', 'Trinity (CT)']
['W', 'Yale', 'Williams']
['W', 'Columbia', 'Stevens']
['W', 'Dartmouth', 'MIT']
['T', 'Lafayette', 'Lehigh']
['W', 'Pennsylvania', 'Rutgers']
['W', 'Princeton', 'Harvard']
['W', 'Trinity (CT)', 'Stevens']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Amherst', 'Stevens']
['W', 'Lehigh', 'Pennsylvania']
['T', 'Amherst', 'Columbia']
['T', 'Wesleyan (CT)', 'Lehigh']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Williams', 'MIT']
['W', 'Yale', 'Harvard']
['W', 'Penn State', 'Bucknell']
['W', 'Cornell', 'Columbia']
['W', 'Cornell', 'Lafayette']
['W', 'Dartmouth', 'Stevens']
['W', 'Franklin & Marshall', 'Dickinson']
['W', 'Princeton', 'Yale']
['W', 'Wesleyan (CT)', 'Pennsylvania']
['W', 'Amherst', 'Trinity (CT)']
['W', 'Lafayette', 'Dickinson']
['W', 'Princeton', 'Franklin & Marshall']
['W', 'Yale', 'Wesleyan (CT)']
['T', 'Lafayette', 'Bucknell']
['W', 'Pennsylvania', 'Rutgers']
['W', 'Wesleyan (CT)', 'Trinity (CT)']
['W', 'Williams', 'Amherst']
['W', 'Harvard', 'Dartmouth']
['W', 'Princeton', 'Rutgers']
['T', 'Amherst', 'Trinity (CT)']
['W', 'Williams', 'Cornell']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Franklin & Marshall', 'Lafayette']
['W', 'Harvard', 'Amherst']
['W', 'Yale', 'Lehigh']
['W', 'Harvard', 'Williams']
